api,bottom,fluid_bbl,fluid_bbl_per_ft,fluid_gal,fluid_gal_per_ft,ft_per_stage,lateral_length,max_treat_press,max_treat_rate,propp_lbs,propp_lbs_per_ft,stages,top,interval,cum_oil_365,file_no,TD,Section,Latitude,Longitude,CTB,Well_Status_Date_year,Well_Status_Date_month,Well_Status_Date_day,treatment_date_year,treatment_date_month,treatment_date_day,Spud_Date_year,Spud_Date_month,Spud_Date_day,Well_Status_encod,Wellbore_encod,Range_encod,Township_encod,Current_Operator_encod,Original_Operator_encod,Lease_Name_encod,Lease_Number_encod,County_Name_encod,QQ_encod,Field_Name_encod,Produced_Pools_BAKKEN,Produced_Pools_BAKKEN/THREE FORKS,Produced_Pools_BIRDBEAR,Produced_Pools_DUPEROW,"Produced_Pools_DUPEROW,MADISON",Produced_Pools_LODGEPOLE,Produced_Pools_MADISON,"Produced_Pools_MADISON,TYLER",Produced_Pools_ORDOVICIAN,Produced_Pools_RED RIVER,Produced_Pools_SANISH,Produced_Pools_SPEARFISH,Produced_Pools_SPEARFISH/MADISON,Produced_Pools_THREE FORKS,Produced_Pools_TYLER
33007016320000,20810,57661,6,2421762,252,319,9586,8461,48.0,2757929,287,30,11224,9586,19649.0,17768,20848.0,29,47.088015124637174,-103.24470551716414,117768.0,2012,7,25,2012,7,19,2012,4,21,0,1,99,142,57,97,558,3348,0,27,296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016410000,20457,48944,5,2055648,214,9572,9572,8968,44.8,3756800,392,1,10885,9572,33166.0,18502,20457.0,13,47.111641700859614,-103.41538470856344,118502.0,2010,11,11,2010,11,1,2010,7,25,0,1,101,142,54,93,2852,3361,0,37,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016470000,20640,60578,6,2544276,258,9824,9824,9366,49.0,3681460,374,1,10816,9824,89630.0,18759,20640.0,30,47.08255699952253,-103.39273335913471,118759.0,2010,11,15,2010,11,13,2010,7,22,0,1,100,142,54,93,2852,3396,0,37,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016500000,19842,40087,4,1683654,188,8942,8942,9054,41.3,2611100,292,1,10900,8942,34799.0,19100,19842.0,19,47.10837501785774,-103.5367658092542,119100.0,2011,7,20,2011,7,19,2011,2,28,0,1,101,142,54,93,1321,545,0,31,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016510000,21235,37743,3,1585206,154,10261,10261,8549,44.3,2590710,252,1,10974,10261,51438.0,19135,21235.0,31,47.077743203951215,-103.5215453077891,119135.0,2011,2,25,2011,2,23,2010,11,14,0,1,101,142,54,93,2177,3246,0,25,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016550000,20350,32113,3,1348746,139,9640,9640,8607,0.0,1964520,203,1,10710,9640,31276.0,19416,20350.0,2,47.053631778191395,-103.43856704153158,119416.0,2011,12,14,2011,12,14,2011,10,6,0,1,101,141,54,93,2852,3394,0,37,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016570000,20325,35124,3,1475208,155,9503,9503,9369,0.0,2316800,243,1,10822,9503,97708.0,19441,20325.0,20,47.183391735304326,-103.6261274619885,119441.0,2011,7,29,2011,7,29,2011,5,22,0,1,102,143,54,93,803,3373,0,37,251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016580000,18905,36245,4,1522290,184,8233,8233,9716,0.0,2005118,243,1,10672,8233,29083.0,19469,18905.0,12,47.04763666384203,-103.55680386019638,119469.0,2011,8,19,2011,8,18,2011,1,17,0,1,102,141,54,93,2598,665,0,42,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016590000,19140,23355,2,980910,116,8426,8426,6687,0.0,1800160,213,1,10714,8426,60377.0,19648,19140.0,30,47.177059197742786,-103.5377203813618,119648.0,2011,7,25,2011,7,23,2011,6,9,0,1,101,143,54,93,2025,703,0,42,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016600000,18903,30522,3,1281924,165,7764,7764,8413,36.1,1917748,247,1,11139,7764,89476.0,19687,18903.0,9,47.21155212749626,-103.61234605249136,119687.0,2011,6,29,2011,6,28,2011,4,9,0,1,102,143,54,93,578,2979,0,43,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016620000,20405,32926,3,1382892,148,9330,9330,8732,0.0,1895300,203,1,11075,9330,21148.0,19815,20405.0,3,47.152014702762564,-103.46712963371796,119815.0,2011,11,11,2011,11,10,2011,9,1,0,1,101,142,54,93,2024,2239,0,13,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016630000,20818,50487,5,2120454,221,9555,9555,8380,33.6,2237626,234,1,11263,9555,26952.0,19875,20818.0,21,47.270691870170744,-103.23611012585758,119875.0,2011,2,22,2011,1,20,2010,11,2,0,1,99,144,9,16,1252,1937,0,38,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016640000,20037,15381,1,646002,71,9037,9037,9778,0.0,856931,94,1,11000,9037,37074.0,19882,20037.0,7,47.222872068590526,-103.66433679219251,119882.0,2011,11,1,2011,10,29,2011,8,16,0,1,102,143,54,93,864,618,0,31,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016660000,20715,80644,8,3387048,363,266,9313,8139,41.2,2138350,229,35,11402,9313,32114.0,20121,20890.0,34,47.15498671859349,-103.09033075059092,120121.0,2012,2,11,2012,1,27,2011,8,26,0,1,98,143,36,3,2410,356,0,38,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016670000,21529,26754,2,1123668,106,10576,10576,9080,0.0,2195698,207,1,10953,10576,69938.0,20131,21529.0,11,46.949042820217116,-103.25957294699906,220131.0,2011,10,10,2011,10,10,2011,7,18,0,1,100,140,54,93,2351,2902,0,43,222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016680000,21100,25328,2,1063776,107,9890,9890,9061,38.3,2251236,227,1,11210,9890,12305.0,20174,21100.0,34,47.154427355274144,-103.45690157053237,120174.0,2011,9,26,2011,9,26,2011,7,16,0,1,101,143,54,93,2852,3414,0,37,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016710000,19399,27492,3,1154664,132,8696,8696,9274,0.0,2300984,264,1,10703,8696,49754.0,20388,19399.0,10,47.04945397829092,-103.59081428728115,120388.0,2011,9,16,2011,9,16,2011,7,2,0,1,102,141,54,93,749,2728,0,30,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33007016720000,21147,24056,2,1010352,99,10157,10157,8992,0.0,1779554,175,1,10990,10157,70618.0,20404,21147.0,14,46.94751297208408,-103.26448455928251,220404.0,2011,10,15,2011,10,15,2011,7,30,0,1,100,140,54,93,2351,2165,0,26,222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016740000,20261,31008,3,1302336,141,9225,9225,8674,0.0,2022180,219,1,11036,9225,127981.0,20504,20261.0,13,46.94765071748385,-103.24258307070448,220504.0,2011,12,17,2011,12,17,2011,7,26,0,1,100,140,54,93,2351,2160,0,26,222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016750000,21267,23066,2,968772,94,10225,10225,9169,0.0,1806425,176,1,11042,10225,168331.0,20526,21267.0,12,46.9496057056334,-103.23992599702852,220526.0,2011,9,13,2011,9,12,2011,6,10,0,1,100,140,54,93,2678,2906,0,43,222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016760000,20041,30715,3,1290030,139,9221,9221,8224,0.0,1808716,196,1,10820,9221,18878.0,20574,20041.0,16,47.03646059131672,-103.36278362759363,120574.0,2012,3,1,2012,2,29,2011,12,15,3,1,100,141,54,93,1092,2175,0,26,329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016770000,20754,34778,3,1460676,149,9741,9741,8883,0.0,2357480,242,1,11013,9741,99219.0,20672,20754.0,24,46.920439464476736,-103.24377333408188,220672.0,2011,11,7,2011,11,6,2011,7,30,0,1,100,140,54,93,801,2388,0,38,222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016790000,20247,33054,3,1388268,148,407,9361,8848,42.4,1949560,208,23,10886,9361,63673.0,20701,20247.0,8,47.22465741950556,-103.51420436251708,120701.0,2012,6,23,2012,6,22,2012,4,22,0,1,101,143,54,93,1653,620,0,31,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33007016810000,20030,31658,3,1329636,146,9064,9064,8702,0.0,1883697,207,1,10966,9064,40683.0,20839,20030.0,16,46.947410419248456,-103.30707068411202,220839.0,2012,3,25,2012,3,25,2011,6,15,0,1,100,140,54,93,2352,2175,0,26,222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
