api,cum_gor_180,cum_gor_30,cum_gor_365,cum_gor_545,cum_gor_730,cum_gor_90,cum_oil_180,cum_oil_30,cum_oil_365,cum_oil_545,cum_oil_730,cum_oil_90,cum_water_180,cum_water_30,cum_water_365,cum_water_545,cum_water_730,cum_water_90,cum_wc_180,cum_wc_30,cum_wc_365,cum_wc_545,cum_wc_730,cum_wc_90
33007001030000,80.226,72.474,83.584,83.714,,78.803,4093.0,681.0,7992.0,11353.0,,2005.0,29446.0,5038.0,59363.0,87372.0,120315.0,14823.0,87.796,88.092,88.135,88.5,,88.085
33007003020000,,,,,,,,,,,,,,,,,,,,,,,,
33007005040000,,,,,,,,,,,,,,,,,,,,,,,,
33007010000000,,inf,,,,,,0.0,,,,211.0,,1417.0,,,,4541.0,,100.0,,,,95.56
33007011110000,391.506,765.95,422.07,,,429.485,1295.0,180.0,1972.0,2155.0,2155.0,817.0,5371.0,327.0,13612.0,18193.0,18756.0,1224.0,80.573,64.497,87.346,89.409,89.694,59.971
33007011160000,668.8,2369.299,549.303,566.667,586.851,552.91,625.0,29.0,1549.0,2237.0,2890.0,378.0,3594.0,201.0,6476.0,9821.0,12845.0,2146.0,85.186,87.391,80.698,81.448,81.633,85.024
33007011480000,464.196,319.58,622.614,447.488,270.746,305.109,904.0,215.0,1362.0,2932.0,5230.0,685.0,2242.0,408.0,4153.0,11776.0,20606.0,1197.0,71.265,65.49,75.304,80.065,79.757,63.603
33007012030000,598.48,715.956,610.202,623.635,622.298,601.599,21865.0,4715.0,35061.0,45083.0,53164.0,13612.0,5205.0,2262.0,7584.0,9483.0,11072.0,3873.0,19.228,32.421,17.784,17.379,17.236,22.15
33007012540000,,3616.299,,,,246.753,,19.0,,,,847.0,6978.0,78.0,14889.0,18046.0,19333.0,2972.0,,80.412,,,,77.821
33007012640000,831.478,840.992,821.122,779.1,767.391,795.51,4844.0,743.0,9131.0,14215.0,24526.0,2551.0,2881.0,499.0,5696.0,8454.0,13079.0,1451.0,37.294,40.177,38.416,37.293,34.78,36.257
33007012930000,104.693,13.494,147.254,173.99,201.476,55.747,2770.0,502.0,4909.0,6550.0,8260.0,1453.0,22688.0,4044.0,42662.0,58260.0,82031.0,12041.0,89.119,88.957,89.681,89.894,90.852,89.232
33007013280000,204.628,140.225,223.369,236.048,256.83,182.811,9110.0,1539.0,18014.0,26706.0,35850.0,4433.0,14009.0,2217.0,29306.0,44254.0,63789.0,6642.0,60.595,59.026,61.932,62.365,64.02,59.973
33007013680000,243.806,257.485,211.903,200.506,193.964,250.526,11767.0,2116.0,22899.0,33195.0,43639.0,6175.0,16117.0,2809.0,32589.0,49376.0,66422.0,8282.0,57.8,57.036,58.732,59.798,60.35,57.287
33007013860000,235.617,318.1,250.046,257.516,225.748,232.481,1781.0,216.0,3443.0,5054.0,6587.0,899.0,5708.0,1114.0,12495.0,17113.0,19289.0,3153.0,76.218,83.759,78.398,77.2,74.544,77.813
33007014190000,2100.949,1770.407,2349.729,2451.378,2498.954,1928.002,7764.0,3535.0,30069.0,44917.0,63563.0,4389.0,266835.0,63577.0,747902.0,1183707.0,1485832.0,122131.0,97.173,94.733,96.135,96.344,95.898,96.531
33007014310000,88164.502,38251.728,71673.414,102843.7,132683.516,51173.16,462.0,224.0,910.0,910.0,910.0,462.0,89236.0,15261.0,176762.0,269265.0,368436.0,45341.0,99.485,98.553,99.488,99.663,99.754,98.991
33007014570000,507.898,692.189,520.521,463.708,515.848,555.693,3385.0,439.0,5141.0,7209.0,10001.0,1616.0,8315.0,1498.0,14821.0,18935.0,25551.0,4376.0,71.068,77.336,74.246,72.426,71.869,73.031
33007014930000,0.0,0.0,0.0,0.0,0.0,0.0,2188.0,241.0,4925.0,6911.0,8674.0,860.0,912.0,79.0,1469.0,2295.0,2820.0,189.0,29.419,24.688,22.975,24.929,24.535,18.017
33007015020000,,,,,,,,,,,,,,,,,,,,,,,,
33007015030000,,,0.0,,,,0.0,0.0,219.0,,,0.0,2965.0,258.0,4950.0,,,1430.0,100.0,100.0,95.763,,,100.0
